iter	Logloss
0	0.5336031294
1	0.4284821838
2	0.3722350859
3	0.3352746368
4	0.3130068085
5	0.2952124349
6	0.2848771053
7	0.2698749086
8	0.2614184546
9	0.2558048662
10	0.2513824879
11	0.2475784468
12	0.2443569747
13	0.2382316511
14	0.2362812844
15	0.2344329187
16	0.2316280009
17	0.2297123236
18	0.2258642507
19	0.2240412322
20	0.2226424529
21	0.2210509295
22	0.2188851399
23	0.2177271868
24	0.2162706573
25	0.2152536415
26	0.2142858876
27	0.2129539255
28	0.212016159
29	0.2103730312
30	0.2097332737
31	0.2090536921
32	0.2082070226
33	0.2077728569
34	0.2068911215
35	0.2062628017
36	0.2057262529
37	0.2050853606
38	0.2034467326
39	0.202970771
40	0.2022909704
41	0.2013756972
42	0.2007094128
43	0.200264242
44	0.1995919466
45	0.1988684176
46	0.1983269646
47	0.1977337442
48	0.1973553007
49	0.1969405442
50	0.1964588582
51	0.1961913759
52	0.1958933669
53	0.1955441805
54	0.1952721535
55	0.1950528657
56	0.1946310646
57	0.193773345
58	0.1934251698
59	0.1926911525
60	0.192385391
61	0.1921771982
62	0.1918954357
63	0.1917283983
64	0.1915283849
65	0.1912736212
66	0.1909308502
67	0.1905574345
68	0.1904209014
69	0.1902085009
70	0.189829622
71	0.1895933237
72	0.1892474096
73	0.1888608035
74	0.1885870182
75	0.1883784995
76	0.1879145852
77	0.1876839102
78	0.1874909246
79	0.1873694666
80	0.1871752198
81	0.1870793955
82	0.1868437488
83	0.1866773097
84	0.1865278952
85	0.1863424317
86	0.1859235321
87	0.1857001405
88	0.185641469
89	0.1854712183
90	0.1853702173
91	0.1851728976
92	0.1850275334
93	0.1847385689
94	0.1846441125
95	0.1845258258
96	0.1844021066
97	0.1841479215
98	0.1839430263
99	0.1837402658
100	0.1834261649
101	0.183241134
102	0.1830813884
103	0.1828212625
104	0.1825878209
105	0.1825095744
106	0.1823700807
107	0.1822021417
108	0.1820673557
109	0.181942968
110	0.1818765918
111	0.1817959579
112	0.1817285311
113	0.1814746999
114	0.1812860343
115	0.1811922408
116	0.1811068374
117	0.1810096199
118	0.1807805432
119	0.1806851205
120	0.1804338566
121	0.1803777215
122	0.1801737617
123	0.1800527924
124	0.1799245117
125	0.1798836147
126	0.1797558705
127	0.1796007258
128	0.1795072132
129	0.1793370383
130	0.1792519102
131	0.1791919045
132	0.1791094841
133	0.1790107807
134	0.17881609
135	0.1787673254
136	0.1787339786
137	0.178673751
138	0.178537524
139	0.1784011622
140	0.1782558149
141	0.1781500865
142	0.1780847917
143	0.1780190363
144	0.1777818672
145	0.1776964189
146	0.1775805983
147	0.1775475239
148	0.1774552219
149	0.1773567601
150	0.1773064141
151	0.1772703146
152	0.1771404075
153	0.1770562709
154	0.1769361359
155	0.1768918514
156	0.1768329833
157	0.1767776964
158	0.176732881
159	0.1766306132
160	0.1765140904
161	0.1763806835
162	0.1763275595
163	0.1762585317
164	0.1760027765
165	0.1759016996
166	0.1758415001
167	0.1758098639
168	0.1757251093
169	0.1756308495
170	0.175555426
171	0.1754157946
172	0.1753236921
173	0.1752867078
174	0.1751879735
175	0.1751263415
176	0.1750599933
177	0.1750254331
178	0.1749746686
179	0.1749599782
180	0.1748369248
181	0.1747973451
182	0.1746817408
183	0.1745677207
184	0.1744943504
185	0.1743322679
186	0.1742090937
187	0.1741034833
188	0.1740759593
189	0.1740320203
190	0.173922
191	0.1738256841
192	0.1737598809
193	0.1736952265
194	0.1736520684
195	0.173626019
196	0.17358208
197	0.1735263943
198	0.1734546588
199	0.173398622
200	0.173294475
201	0.1732054762
202	0.1731203396
203	0.1730339672
204	0.1729525214
205	0.1729008917
206	0.1728414618
207	0.1728024776
208	0.1726693348
209	0.1726486026
210	0.1726051046
211	0.1725748026
212	0.1725287906
213	0.1724636812
214	0.1724284946
215	0.1723554305
216	0.1723141655
217	0.1722769846
218	0.1722288772
219	0.1721952411
220	0.1721361174
221	0.1720831535
222	0.1720574608
223	0.1720261448
224	0.1719410391
225	0.1718680087
226	0.1717838019
227	0.1717375596
228	0.171714496
229	0.1716918931
230	0.1715877209
231	0.1715555875
232	0.1715356025
233	0.1714868125
234	0.1714644399
235	0.171416518
236	0.1713493328
237	0.1713140029
238	0.1712820437
239	0.171249739
240	0.1712320713
241	0.1712084375
242	0.1711586476
243	0.1711215285
244	0.1711003497
245	0.1710543546
246	0.1709984358
247	0.170964766
248	0.1709044681
249	0.1708817444
250	0.1708544704
251	0.1708185226
252	0.1708075034
253	0.1707835551
254	0.1707194793
255	0.1706542969
256	0.1706163885
257	0.1705763678
258	0.1705134746
259	0.1704957816
260	0.1704568114
261	0.1704258774
262	0.1703783543
263	0.1703215591
264	0.1702764966
265	0.1702376388
266	0.1702167465
267	0.1701296858
268	0.1700789831
269	0.1700371226
270	0.1699989024
271	0.1699828048
272	0.1699222093
273	0.1698801803
274	0.169815936
275	0.1698000631
276	0.1697797382
277	0.16974597
278	0.1697226228
279	0.1696868295
280	0.1696287057
281	0.169555004
282	0.1695369233
283	0.1695164383
284	0.1694721454
285	0.1694415428
286	0.1694118138
287	0.169389798
288	0.1693765823
289	0.1693304608
290	0.1692791597
291	0.1692575568
292	0.1692276312
293	0.1691871723
294	0.1691455253
295	0.1691110803
296	0.169085882
297	0.1690631864
298	0.16902516
299	0.168970199
300	0.1689420458
301	0.168922395
302	0.1688983034
303	0.1688662318
304	0.1688282897
305	0.1687887831
306	0.1687700227
307	0.1687536358
308	0.168734822
309	0.1687103597
310	0.1686904055
311	0.1686435144
312	0.1686313941
313	0.1685872613
314	0.168545884
315	0.1684802296
316	0.1684330042
317	0.1684012782
318	0.1683416629
319	0.168304614
320	0.1682807668
321	0.1682533916
322	0.1682379007
323	0.1682123148
324	0.1681582246
325	0.1681503148
326	0.1681346975
327	0.1680969577
328	0.1680835931
329	0.1680685741
330	0.1680180933
331	0.1680016727
332	0.1679713482
333	0.1679431248
334	0.1678961128
335	0.1678518424
336	0.1678159479
337	0.167781486
338	0.1677450326
339	0.1676942681
340	0.1676190074
341	0.167585287
342	0.16757265
343	0.1675099169
344	0.1674877999
345	0.1674663318
346	0.1674503746
347	0.1674051828
348	0.167392998
349	0.1673720158
350	0.1673232146
351	0.1673039065
352	0.1672592063
353	0.1672164976
354	0.1671994281
355	0.1671284707
356	0.1670952952
357	0.1670600777
358	0.1670229754
359	0.1669789437
360	0.1669554055
361	0.1669213845
362	0.1668952621
363	0.1668717857
364	0.1668522725
365	0.1668357002
366	0.1668158303
367	0.1667789219
368	0.1667660404
369	0.1667246828
370	0.1667024169
371	0.1666759294
372	0.1666639468
373	0.1666532141
374	0.1665808859
375	0.1665608672
376	0.1665189617
377	0.1664965302
378	0.1664856908
379	0.1664593521
380	0.1664502795
381	0.1664183315
382	0.166394223
